feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
s__UBA636.sp022776215	group	PDCoV	6.34206665151673	0.431238324404839	12	8	4.22643198721901e-08	6.76229117955042e-06
s__Hominicoprocola.sp900317525	group	PDCoV	2.95945367018258	0.286357167049844	12	7	1.17441661137885e-06	6.2635552606872e-05
s__Prevotella.sp900552515	group	PDCoV	6.54582358493023	0.62765719494543	12	10	1.08020859299241e-06	6.2635552606872e-05
s__Alloprevotella.sp004556745	group	PDCoV	4.93471832300656	0.607221175461506	12	8	1.02579277605736e-05	0.000352385814990373
s__Cryptobacteroides.sp022777585	group	PDCoV	2.70706719738304	0.335807950509882	12	8	1.10120567184491e-05	0.000352385814990373
s__Phascolarctobacterium_A.succinatutens	group	PDCoV	4.79180714055872	0.619289589074141	12	11	1.5750733196114e-05	0.000420019551896372
s__Hominicoprocola.sp003522105	group	PDCoV	6.94768688310298	1.07260948270431	12	10	7.09636212251318e-05	0.00162202562800301
s__Enterocloster.porci	group	PDCoV	-3.72383468030172	0.607165920979462	12	7	0.000110749394449499	0.00177199031119199
s__Enterococcus_D.gallinarum	group	PDCoV	-2.18380510892218	0.351752659354251	12	6	0.000100352675544295	0.00177199031119199
s__Vescimonas.sp003487665	group	PDCoV	4.39374286275315	0.705431223726379	12	8	9.77564141655309e-05	0.00177199031119199
s__Bacteroides.fragilis	group	PDCoV	-6.35099235638209	1.08724913063458	12	10	0.000163516032253009	0.00237841501458922
s__UMGS973.sp900547295	group	PDCoV	2.30448341957425	0.411579544155327	12	7	0.000227966740726112	0.00303955654301482
s__Prevotella.sp002251385	group	PDCoV	2.66722177830742	0.484405190300159	12	8	0.000259529952813447	0.0031942148038578
s__CAG.873.sp001701165	group	PDCoV	4.85399003397654	0.936109935511278	12	6	0.000409932899318379	0.00385819199358474
s__Cryptobacteroides.sp004552115	group	PDCoV	2.31755327795064	0.436751901356615	12	8	0.000344406545210009	0.00385819199358474
s__Sodaliphilus.sp004557565	group	PDCoV	3.1686928852305	0.609702980568568	12	9	0.000402976931333707	0.00385819199358474
s__Vescimonas.cirricatena	group	PDCoV	3.55026899077286	0.682592700276062	12	8	0.000400628457439575	0.00385819199358474
s__CAG.103.sp004556965	group	PDCoV	4.96003375957935	0.989399887121736	12	8	0.000527007009716721	0.00443795376603555
s__Prevotella.sp900544495	group	PDCoV	2.03921600799272	0.405143808303412	12	6	0.000511626934382285	0.00443795376603555
s__Escherichia.coli	group	PDCoV	-6.91944053675511	1.41395014245335	12	12	0.000628992502360917	0.00503194001888733
s__CAG.873.sp017889945	group	PDCoV	3.54499314521224	0.745757491113483	12	6	0.000776068056207665	0.00551317491880248
s__Clostridium_AQ.innocuum	group	PDCoV	-3.27722648567388	0.691447847114597	12	6	0.000792518894577857	0.00551317491880248
s__UBA4372.sp945865175	group	PDCoV	3.50686134129812	0.73499506229004	12	6	0.000755598183622136	0.00551317491880248
s__Odoribacter.sp945900015	group	PDCoV	3.16603153401049	0.689174299205351	12	6	0.000989245846836281	0.00659497231224188
s__Limivicinus.sp003150355	group	PDCoV	2.40584088042897	0.537266972210726	12	7	0.0011828147141336	0.00757001417045502
s__CAG.238.sp945828095	group	PDCoV	3.19666441524743	0.727677528108188	12	6	0.00134979312897597	0.00830641925523674
s__Sarcina.perfringens	group	PDCoV	-5.40179547955295	1.26328822888663	12	6	0.00162163423488964	0.00960968435490157
s__UBA1783.sp016302195	group	PDCoV	2.54120266328253	0.597679496010315	12	6	0.00168475747227703	0.00962718555586872
s__Dysosmobacter.sp004558115	group	PDCoV	2.21173754222769	0.536337434521442	12	8	0.00206459028538173	0.00971571899003166
s__Evtepia.sp004551945	group	PDCoV	3.21212931740904	0.773215970877625	12	10	0.00196667150590559	0.00971571899003166
s__Limivicinus.sp946061515	group	PDCoV	2.1208914157975	0.512894547507017	12	7	0.00202748789178649	0.00971571899003166
s__Phil1.sp001940855	group	PDCoV	2.14685951848219	0.515526538897695	12	7	0.00193512732268162	0.00971571899003166
s__Prevotella.pectinovora	group	PDCoV	4.12154624238793	0.97804524480018	12	9	0.00178836093831206	0.00971571899003166
s__UBA7173.sp001701135	group	PDCoV	2.95315541409996	0.714877723411009	12	7	0.00204095034616085	0.00971571899003166
s__Clostridium.paraputrificum	group	PDCoV	-1.31786642627249	0.323979320285608	12	5	0.00225830411633967	0.0100369071837319
s__Mogibacterium_A.kristiansenii	group	PDCoV	2.33138539255538	0.572905571129094	12	7	0.00225230778613624	0.0100369071837319
s__Methanobrevibacter_A.smithii	group	PDCoV	3.96467909377908	0.981458458706984	12	7	0.00236282170899579	0.010217607390252
s__CAG.170.sp934646005	group	PDCoV	2.69132519425172	0.691957339079634	12	8	0.00301230665967947	0.0126833964618083
s__CAG.170.sp004555655	group	PDCoV	3.06104781708644	0.808061368440717	12	7	0.00355421704069254	0.0145814032438668
s__Cryptobacteroides.sp000433355	group	PDCoV	3.10423046128235	0.832776615596549	12	7	0.00392604868803656	0.0155348552431565
s__Onthomorpha.sp004551865	group	PDCoV	3.37803083710528	0.908279044346245	12	7	0.00398080665605885	0.0155348552431565
s__Brotaphodocola.sp022776445	group	PDCoV	1.89868036277962	0.518435985819369	12	5	0.00437225184916435	0.0162688440899139
s__F23.B02.sp004558025	group	PDCoV	3.14807364593776	0.85932870746697	12	7	0.004364402737825	0.0162688440899139
s__Alloprevotella.sp945788445	group	PDCoV	3.31371012170355	0.924756951070153	12	6	0.0049840294422598	0.0177209935724793
s__RUG369.sp004556055	group	PDCoV	2.71807241194052	0.758080037074536	12	7	0.00496635020173886	0.0177209935724793
s__Enterococcus_E.cecorum	group	PDCoV	-3.22819309027044	0.912178705414515	12	5	0.00536576273273191	0.0186635225486327
s__Lepagella.sp002491165	group	PDCoV	2.8809419265802	0.820844170844347	12	5	0.00563418971394532	0.0191802203027926
s__CAG.873.sp945828175	group	PDCoV	2.9876505816294	0.882003953518813	12	6	0.00691665652092696	0.0230555217364232
s__Alistipes.shahii	group	PDCoV	3.40544764508969	1.01595663390019	12	8	0.0073410368113908	0.023095511867753
s__Alloprevotella.sp004552195	group	PDCoV	2.15267316371416	0.642532697941758	12	5	0.00736169440784627	0.023095511867753
s__Intestinimonas.massiliensis	group	PDCoV	2.02273578871129	0.600966343504698	12	10	0.00717188072988715	0.023095511867753
s__Limiplasma.sp004556545	group	PDCoV	2.84247715480599	0.865231273357622	12	7	0.00821609445159071	0.0252802906202791
s__Fusobacterium_A.varium	group	PDCoV	-5.1978441705418	1.60064787705983	12	9	0.00875988835614909	0.0263253064130377
s__Streptococcus.hyointestinalis	group	PDCoV	-2.3653762409238	0.730284871865194	12	5	0.00888479091440021	0.0263253064130377
s__Collinsella.sp002391315	group	PDCoV	3.82704581569438	1.1882778596761	12	10	0.00916479694524767	0.0266612274770841
s__Dorea_A.sp016295505	group	PDCoV	2.68494021148331	0.846964968325042	12	7	0.00998642454140532	0.0285326415468724
s__Fusobacterium.gastrosuis	group	PDCoV	-4.17230772206418	1.32084804125424	12	8	0.01017937458113	0.0285616565751058
s__UBA7173.sp004557825	group	PDCoV	1.77696587346988	0.564326417873417	12	5	0.0103536005084759	0.0285616565751058
s__Enterocloster.aldenensis	group	PDCoV	-2.07560179622372	0.67849860435908	12	12	0.0120627804985642	0.0324515572193608
s__Enterococcus.faecalis	group	PDCoV	-2.27505289328834	0.744953132836202	12	5	0.0121693339572603	0.0324515572193608
s__Basfia_A.rossii	group	PDCoV	-4.2884001182137	1.41899906786346	12	9	0.0128486348846562	0.0337013374023768
s__Prevotella.copri_A	group	PDCoV	3.30147730593044	1.10942939892196	12	6	0.0139064007929748	0.0354831500081367
s__UBA636.sp002299675	group	PDCoV	2.99969873470817	1.01103761163016	12	5	0.0141192586741234	0.0354831500081367
s__UBA6382.sp945827465	group	PDCoV	1.65972446651097	0.55998099311956	12	5	0.0141932600032547	0.0354831500081367
s__Rothia.nasimurium_D	group	PDCoV	-1.93438400103405	0.658752678081964	12	5	0.0148760206135873	0.0366178968949842
s__UBA738.sp004557735	group	PDCoV	2.62142320186915	0.936328476467565	12	8	0.0188047622710721	0.0455873024753263
s__Bifidobacterium.thermacidophilum	group	PDCoV	2.89603035356789	1.03830043390423	12	5	0.0191459456377162	0.0457216612243969
s__UBA4248.sp004554395	group	PDCoV	2.54157650300772	0.920527476185202	12	5	0.0200952751642371	0.0472830003864403
s__CAG.170.sp003516765	group	PDCoV	2.01516316373581	0.738734343030972	12	7	0.0212714344289643	0.0493250653425259
s__Cryptobacteroides.sp900546445	group	PDCoV	2.89982137886054	1.0671584705209	12	7	0.0216593793137353	0.0495071527171093
s__Cryptobacteroides.sp000431015	group	PDCoV	2.40723604267329	0.900979916233131	12	8	0.0234201654594974	0.0527778376552054
s__Faecousia.sp900546415	group	PDCoV	2.26959914701001	0.864344734135459	12	5	0.0253440458080745	0.0563201017957211
s__CAG.349.sp003539515	group	PDCoV	2.1785832564546	0.837353671931873	12	5	0.0264121575767259	0.057889660442139
s__UBA4372.sp900543815	group	PDCoV	2.26800946264027	0.875954107300031	12	7	0.0269875521763276	0.0583514641650326
s__Alloprevotella.sp022772475	group	PDCoV	1.949754359926	0.756550736449536	12	5	0.0275500749980771	0.0587734933292312
s__CAG.103.sp900317855	group	PDCoV	2.36799610315059	0.929621905845167	12	8	0.0289994971530526	0.0610515729537948
s__Anaerotignum.sp945912105	group	PDCoV	2.0741090772266	0.822198502685799	12	6	0.0302502566243298	0.0628576761025035
s__Angelakisella.sp004557855	group	PDCoV	1.84329187198525	0.75302098738755	12	7	0.0343833103848236	0.0705298674560484
s__Mediterraneibacter.torques	group	PDCoV	-2.65470619491285	1.09256353405101	12	5	0.0354625821791881	0.0718229512489886
s__Gemmiger.sp004561545	group	PDCoV	2.29153202284973	0.950119127371388	12	8	0.0365683965267979	0.0731367930535958
s__Lactobacillus.amylovorus	group	PDCoV	3.1932271520872	1.33359818240971	12	10	0.0376714966851696	0.0744128329583597
s__Prevotella.faecis	group	PDCoV	1.9696972752475	0.842684005722126	12	4	0.0415225504980705	0.0810196107279424
s__Megasphaera.elsdenii	group	PDCoV	2.74469613513269	1.17883659091361	12	7	0.0421715346156519	0.0812945245602928
s__Klebsiella.pneumoniae	group	PDCoV	-2.10165392393006	0.906509370699369	12	4	0.0428892775436283	0.0816938619878634
s__Alistipes.senegalensis	group	PDCoV	2.14924300062957	0.936101240494557	12	10	0.0445602376923497	0.0838780944797172
s__Angelakisella.sp004554485	group	PDCoV	1.86448798686623	0.835148933259714	12	6	0.0496298097574296	0.0923345297812644
s__Limivicinus.sp029010715	group	PDCoV	1.34596296313702	0.608213798370592	12	4	0.0513013747078322	0.0943473557845189
s__Holdemanella.porci	group	PDCoV	1.67227790185342	0.766998589185236	12	10	0.054219077416418	0.0974724987261447
s__Lawsonibacter_A.hominis	group	PDCoV	2.10294252066859	0.964059174593903	12	9	0.0541225898253636	0.0974724987261447
s__Cryptobacteroides.sp900769145	group	PDCoV	1.43577809259444	0.665238503587247	12	9	0.0562716662601603	0.10003851779584
s__Fimivicinus.sp002320555	group	PDCoV	-0.665645564103024	0.309667537547596	12	3	0.0571078943640475	0.100409484596128
s__CAG.302.sp934162325	group	PDCoV	0.661865379369641	0.311414788241777	12	3	0.059485354501369	0.103452790437164
s__Lepagella.sp000437495	group	PDCoV	2.7996467168275	1.33038120704124	12	4	0.0616203499071842	0.106013505216661
s__Enterocloster.clostridioformis	group	PDCoV	-1.5783458504163	0.77657485251408	12	12	0.0695199337954918	0.118182526693209
s__Prevotella.sp000434975	group	PDCoV	3.63747269706534	1.79462765605189	12	11	0.0701708752240927	0.118182526693209
s__JAFBIX01.sp021531895	group	PDCoV	1.92459521749342	0.971488056863541	12	10	0.0757365261895983	0.126227543649331
s__SFEL01.sp004557245	group	PDCoV	1.70380486238548	0.867289064035892	12	6	0.0778501267650762	0.128412580231054
s__Bacteroides.hominis	group	PDCoV	-1.04540122167302	0.544315397932918	12	3	0.0837286572569346	0.136666523188327
s__SFTJ01.sp004557385	group	PDCoV	2.6086687591268	1.36252560177608	12	6	0.0845624112227772	0.136666523188327
s__CAG.873.sp004552725	group	PDCoV	1.41771131590983	0.780337226613467	12	3	0.0992954896599733	0.158872783455957
s__Eubacterium_R.coprostanoligenes	group	PDCoV	1.37358023658172	0.779787056570742	12	3	0.108642635785921	0.172107145799479
s__CAG.170.sp002404795	group	PDCoV	1.61486531561125	0.926827160038372	12	8	0.112056796884052	0.175775367661258
s__Veillonella.caviae	group	PDCoV	-1.78378494577722	1.03107734253769	12	11	0.114311194575597	0.177570787690248
s__Oribacterium.sp004554245	group	PDCoV	1.64472263577333	0.955189092798409	12	3	0.115820762445265	0.178185788377331
s__Faecalimonas.sp029983955	group	PDCoV	-1.27550355150758	0.748920409307307	12	3	0.119369149311871	0.180179848017918
s__Limosilactobacillus.reuteri	group	PDCoV	-1.62232282819095	0.951440363528904	12	11	0.11898619888464	0.180179848017918
s__Intestinimonas.butyriciproducens	group	PDCoV	1.77839514109766	1.06047821976843	12	11	0.124479280874522	0.186137242429192
s__Roseburia.sp022771695	group	PDCoV	1.10851099730014	0.66794945729734	12	3	0.127988338465712	0.189612353282537
s__UBA1685.sp004560435	group	PDCoV	1.95332315837003	1.19041245006529	12	5	0.131856642534142	0.193551034912502
s__Cryptobacteroides.sp000434935	group	PDCoV	1.07365556665429	0.663430113503494	12	9	0.136659419700664	0.197422298265543
s__RUG572.sp900547945	group	PDCoV	1.46259124924749	0.904539782867762	12	3	0.13696171942172	0.197422298265543
