pathway	ID
map00010:Glycolysis / Gluconeogenesis	C00022
map00010:Glycolysis / Gluconeogenesis	C00024
map00010:Glycolysis / Gluconeogenesis	C00031
map00010:Glycolysis / Gluconeogenesis	C00033
map00010:Glycolysis / Gluconeogenesis	C00036
map00010:Glycolysis / Gluconeogenesis	C00068
map00010:Glycolysis / Gluconeogenesis	C00074
map00010:Glycolysis / Gluconeogenesis	C00084
map00010:Glycolysis / Gluconeogenesis	C00103
map00010:Glycolysis / Gluconeogenesis	C00111
map00010:Glycolysis / Gluconeogenesis	C00118
map00010:Glycolysis / Gluconeogenesis	C00186
map00010:Glycolysis / Gluconeogenesis	C00197
map00010:Glycolysis / Gluconeogenesis	C00221
map00010:Glycolysis / Gluconeogenesis	C00236
map00010:Glycolysis / Gluconeogenesis	C00267
map00010:Glycolysis / Gluconeogenesis	C00469
map00010:Glycolysis / Gluconeogenesis	C00631
map00010:Glycolysis / Gluconeogenesis	C00668
map00010:Glycolysis / Gluconeogenesis	C01159
map00010:Glycolysis / Gluconeogenesis	C01172
map00010:Glycolysis / Gluconeogenesis	C01451
map00010:Glycolysis / Gluconeogenesis	C05125
map00010:Glycolysis / Gluconeogenesis	C05345
map00010:Glycolysis / Gluconeogenesis	C05378
map00010:Glycolysis / Gluconeogenesis	C06186
map00010:Glycolysis / Gluconeogenesis	C06187
map00010:Glycolysis / Gluconeogenesis	C06188
map00010:Glycolysis / Gluconeogenesis	C15972
map00010:Glycolysis / Gluconeogenesis	C15973
map00010:Glycolysis / Gluconeogenesis	C16255
map00020:Citrate cycle (TCA cycle)	C00022
map00020:Citrate cycle (TCA cycle)	C00024
map00020:Citrate cycle (TCA cycle)	C00026
map00020:Citrate cycle (TCA cycle)	C00036
map00020:Citrate cycle (TCA cycle)	C00042
map00020:Citrate cycle (TCA cycle)	C00068
map00020:Citrate cycle (TCA cycle)	C00074
map00020:Citrate cycle (TCA cycle)	C00091
map00020:Citrate cycle (TCA cycle)	C00122
map00020:Citrate cycle (TCA cycle)	C00149
map00020:Citrate cycle (TCA cycle)	C00158
map00020:Citrate cycle (TCA cycle)	C00311
map00020:Citrate cycle (TCA cycle)	C00417
map00020:Citrate cycle (TCA cycle)	C05125
map00020:Citrate cycle (TCA cycle)	C05379
map00020:Citrate cycle (TCA cycle)	C05381
map00020:Citrate cycle (TCA cycle)	C15972
map00020:Citrate cycle (TCA cycle)	C15973
map00020:Citrate cycle (TCA cycle)	C16254
map00020:Citrate cycle (TCA cycle)	C16255
map00030:Pentose phosphate pathway	C00022
