name	Mock_1	Mock_2	Mock_3	Mock_4	Mock_5	Mock_6	PDCoV_1	PDCoV_2	PDCoV_3	PDCoV_4	PDCoV_5	PDCoV_6
s__Alloprevotella sp004556745	0	0.065253879	0	0.194625497	0	0	0.741749602	2.079524066	1.191708564	1.552753572	5.28491012	0.780853158
s__Bacteroides fragilis	37.85505362	18.36495831	31.42730739	0.518938945	11.27819634	1.367676254	0.110644435	0.128853275	0.17616527	0	0.098012143	0
s__Basfia_A rossii	1.651218315	0.512159928	2.83546746	0.029911725	0.087418771	0.018807754	0	0.009205264	0.061629672	0	0.038295743	0
s__CAG- 103 sp004556965	0	0	0	0.369127052	0	0.036319421	1.615030869	4.665339543	1.251473973	1.346051863	0.133382971	0.783097825
s__CAG- 873 sp001701165	0	0	0	0	0	0	8.081721954	2.645226157	2.224324516	0.084778238	1.742876129	0.483047873
s__Clostridium_AQ innocuum	0.769562208	0.934309191	0.558573201	0.098246681	0.055482265	0.172869935	0	0	0	0	0	0
s__Enterocloster porci	1.591740131	0.512455271	1.076193033	0.283613276	3.350915473	3.203798783	0	0	0.158867351	0	0	0
s__Enterococcus_E cecorum	0.296930974	0	0.048340413	0.703304482	0.471531086	1.173491449	0	0	0	0	0	0
s__Escherichia coli	44.03567293	14.03423405	48.03102541	19.9983815	32.62335987	35.42301065	1.360138267	1.619050193	0.347105279	0.005956367	1.460628062	0.032790164
s__Fusobacterium gastrosuis	0.070254882	1.11370819	0.438212648	0.029379514	3.501198929	0.022769433	0.014242019	0	0.063836642	0	0	0
s__Fusobacterium_A varium	1.548948269	4.603185369	1.439685897	0	1.362963987	0.296458746	0.022693187	0.031487601	0.0088165	0	0.061090301	0
s__Hominicoprocola sp003522105	0.041056215	0	0.041348654	1.366063259	0	0.218069251	5.558377369	19.07902757	3.522397767	14.57528467	5.976341151	23.17294314
s__Mediterraneibacter torques	0.082574255	5.365702448	0.069996397	0.15757045	0	0.670014068	0	0	0	0	0	0
s__Methanobrevibacter_A smithii	0	0	0	0.095866106	0	0	0.086393129	0.842848517	0.47406076	0.026476999	0.666787067	0.926540049
s__Phascolarctobacterium_A succinatutens	0.079583018	0.255383794	0.055192801	0.111236012	0.414372952	0	1.547807269	2.749946268	3.248278546	3.603621684	4.029711416	3.210288297
s__Prevotella pectinovora	0	0.742399174	0	0.983198368	0	0.10596331	4.991159941	1.293402707	6.77033406	3.756307003	3.402658486	0.572717157
s__Prevotella sp900552515	0.08357694	0.190023552	0.122259146	0.161238992	0	0	15.55656669	1.795319639	8.773463242	15.91322452	6.582383613	14.16856183
s__Sarcina perfringens	0.940710069	1.658349303	1.656138553	0	0.460985361	0.124538655	0	0	0	0	0.013296734	0
s__UBA636 sp022776215	0	0.058483137	0	0.112532522	0	0	1.673229951	3.996974018	5.040483106	3.622496453	5.217944098	2.152576649
s__Vescimonas sp003487665	0	0	0	0.128609972	0	0.084683982	2.417793048	1.160631075	0.465659252	4.696272157	0.247296343	1.990209949
