name	Mock_1	Mock_2	Mock_3	Mock_4	Mock_5	Mock_6	PDCoV_1	PDCoV_2	PDCoV_3	PDCoV_4	PDCoV_5	PDCoV_6
2f4a2b08eec8d8d5f66dc0d20552881f	8354	7039	5783	9594	6983	10441	1011	24	1046	1303	880	1285
0ec560dddb8926df6e8219674207cde2	1394	905	2349	63	3114	6470	28	13	101	0	12	0
b14c3f748ff5130552acea8a2b12f29d	194	4049	4699	0	5713	0	0	17	0	0	0	0
121b72c11e4fef515ec416687443c090	4365	4360	2620	154	2765	516	10	5	97	9	3	12
1a8c6fece7040cdd008cb14a3b9ff098	9	7	14	0	10	0	4864	249	6335	2315	2384	245
6c7a7724773d8ff99763aafa0a02ece2	67	21	7	39	0	0	1806	2364	856	963	1664	2147
b803764a3bf4c19193100cbe10778b1b	863	396	39	65	3	0	367	166	7374	318	0	184
070d726240be0175f44bb39f2c548eac	0	0	0	0	0	0	0	49	0	4723	533	1797
4982bbaf199abfd1057d12302f1c1321	1176	850	595	1003	832	1153	160	0	92	302	101	296
50ee60eb855226343fc5b4c1dedd835f	0	0	3	0	0	0	3366	560	117	1522	459	755
d7d3cdd53799e5296423251aa8f5cb20	44	710	850	105	1104	1511	15	0	0	23	29	58
bc193a7b6d4c982c0ed3b9ab9fbe490a	0	0	0	0	0	0	199	3728	11	459	185	43
75be58d231f9589c374a4f6f8ffc07e6	2565	1086	0	0	0	0	598	0	369	182	0	57
fd204f7a88e546b2288fb9b86489ba32	0	0	0	4304	0	0	523	0	0	40	481	0
16b0b32fd1525ed01ebbde5c959133b6	0	0	0	0	0	0	107	3778	0	148	94	30
adc085fb68c6ca79a17867f7d5dfe238	291	449	446	1098	500	1170	0	0	0	0	0	162
bb2b6ead27b1db040a6515db52128edf	0	0	0	0	0	0	106	2740	0	207	591	22
3b8abb526ee0c0688eae90531a8e197e	105	180	459	8	494	1972	6	0	35	11	0	0
bd2eb093a44ae4b83e0a828180924d76	0	0	0	3334	0	0	20	0	0	30	573	0
ebc1d2abb7cd922b1d1d2a036e08ec39	0	0	4	0	0	0	193	2144	0	441	258	0
c44a021a235e7cd16a44bacc8e0179ea	0	0	0	18	0	0	270	425	40	1209	252	965
3adb077f92f2de9be0352d3ce1037e9c	0	0	0	7	0	0	895	243	212	355	131	1541
0b4df5ef69af5fa17591d916c56725ed	26	796	0	41	0	0	282	1439	69	153	217	110
d55012af6c29b40511ef2455119f7adb	0	0	0	0	0	0	234	1722	0	388	322	46
3edc8b4aaa3dfa2e6c4524e8771d1187	0	15	112	54	192	0	590	310	135	597	236	496
34272e5acf8bda74002ed691482dd980	351	187	13	114	0	0	236	617	278	178	241	477
16d24e5b9123f652f7632b720dbc4bab	190	131	374	0	505	1141	0	0	0	0	0	0
ee108f0d70c73888ec3a23c1d4c52689	0	0	0	0	0	0	47	124	0	743	591	1126
0546bf802f89bc8490c882ebddf4a99f	0	0	0	13	0	0	147	667	190	9	93	1311
dbf0e2490858808347448b92d64163da	332	215	1000	34	241	165	0	0	108	17	46	0
90270fa8262e55642534984b3efb9fa8	84	197	399	186	434	835	0	0	0	0	0	0
