name	domain	phylum	class	order	family	genus	species
6bc6521089c8c2cb883bae25cbb1e2bc	d__Bacteria	p__Firmicutes	c__Clostridia	o__Oscillospirales	f__[Eubacterium]_coprostanoligenes_group	g__[Eubacterium]_coprostanoligenes_group	s__Eubacterium_coprostanoligenes
d4637971d77c54bcc3dcd80477583bda	d__Bacteria	p__Firmicutes	c__Clostridia	o__Oscillospirales	f__[Eubacterium]_coprostanoligenes_group	g__[Eubacterium]_coprostanoligenes_group	s__Unknown
1287caf94ba9d05a396d95db9d070ff1	d__Bacteria	p__Firmicutes	c__Clostridia	o__Oscillospirales	f__[Eubacterium]_coprostanoligenes_group	g__[Eubacterium]_coprostanoligenes_group	s__Unknown
a448970de11b09c53971e6ae439c3e85	d__Bacteria	p__Firmicutes	c__Clostridia	o__Oscillospirales	f__[Eubacterium]_coprostanoligenes_group	g__[Eubacterium]_coprostanoligenes_group	s__Unknown
5881bb20a5699e35017633aa882befb5	d__Bacteria	p__Firmicutes	c__Negativicutes	o__Acidaminococcales	f__Acidaminococcaceae	g__Phascolarctobacterium	s__Phascolarctobacterium_faecium
0fbb9ba014e6537638b1abfa91c70058	d__Bacteria	p__Firmicutes	c__Negativicutes	o__Acidaminococcales	f__Acidaminococcaceae	g__Phascolarctobacterium	s__Phascolarctobacterium_sp.
668f606e44b668b5ce31ba64a3425db6	d__Bacteria	p__Firmicutes	c__Negativicutes	o__Acidaminococcales	f__Acidaminococcaceae	g__Phascolarctobacterium	s__Unknown
870e3e86d8a5238a99a82d3ef1ee459f	d__Bacteria	p__Firmicutes	c__Negativicutes	o__Acidaminococcales	f__Acidaminococcaceae	g__Phascolarctobacterium	s__Unknown
9005c656c6f29c1e95e891c2bda299b1	d__Bacteria	p__Firmicutes	c__Negativicutes	o__Acidaminococcales	f__Acidaminococcaceae	g__Phascolarctobacterium	s__Unknown
fd9180e5b6c1227ccc30265ba7fd373a	d__Bacteria	p__Firmicutes	c__Negativicutes	o__Acidaminococcales	f__Acidaminococcaceae	g__Phascolarctobacterium	s__Unknown
79116e7b3b111cdb87ff654ed0f7b3c9	d__Bacteria	p__Firmicutes	c__Negativicutes	o__Acidaminococcales	f__Acidaminococcaceae	g__Phascolarctobacterium	s__Unknown
4156ec3a101d348b95d764ef4a50d4fd	d__Bacteria	p__Firmicutes	c__Negativicutes	o__Acidaminococcales	f__Acidaminococcaceae	g__Phascolarctobacterium	s__Unknown
179db2b22eddd8756e864ba7f6987408	d__Bacteria	p__Firmicutes	c__Negativicutes	o__Acidaminococcales	f__Acidaminococcaceae	g__Phascolarctobacterium	s__Unknown
40dbd24c23e4af889b4fe9670a186bc5	d__Bacteria	p__Actinobacteriota	c__Actinobacteria	o__Actinomycetales	f__Actinomycetaceae	g__Actinomyces	s__Gleimia_europaea
1a971e2aaa9347d4c5d0ccc2d6169cf8	d__Bacteria	p__Actinobacteriota	c__Actinobacteria	o__Actinomycetales	f__Actinomycetaceae	g__Actinomyces	s__Schaalia_hyovaginalis
016ffba51c442e49dbc808f2043c4318	d__Bacteria	p__Actinobacteriota	c__Actinobacteria	o__Actinomycetales	f__Actinomycetaceae	g__Actinomyces	s__Schaalia_hyovaginalis
bfbaa9ca925bab81fe21b87a2750dab9	d__Bacteria	p__Actinobacteriota	c__Actinobacteria	o__Actinomycetales	f__Actinomycetaceae	g__Actinomyces	s__Unknown
bc5dc688aca3e85050859ccffb837227	d__Bacteria	p__Actinobacteriota	c__Actinobacteria	o__Actinomycetales	f__Actinomycetaceae	g__Trueperella	s__Unknown
1704b066b327ecc294c47130629f2072	d__Bacteria	p__Firmicutes	c__Bacilli	o__Lactobacillales	f__Aerococcaceae	g__Globicatella	s__Globicatella_sp.
c93b8025865633aaabd953e3b3fb7bd9	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Burkholderiales	f__Alcaligenaceae	g__Alcaligenaceae	s__Pelistega_suis
ae4e4c1686424d980b6521d927f714f6	d__Bacteria	p__Firmicutes	c__Clostridia	o__Peptostreptococcales-Tissierellales	f__Anaerovoracaceae	g__[Eubacterium]_nodatum_group	s__Unknown
d289785b4c403afba4fc750236d360d7	d__Bacteria	p__Firmicutes	c__Clostridia	o__Peptostreptococcales-Tissierellales	f__Anaerovoracaceae	g__Family_XIII_AD3011_group	s__metagenome
8125b532c63284f6270570cb72b595a8	d__Bacteria	p__Firmicutes	c__Clostridia	o__Peptostreptococcales-Tissierellales	f__Anaerovoracaceae	g__Family_XIII_AD3011_group	s__Unknown
3109797c4ac049f82aafc3bf400365e5	d__Bacteria	p__Firmicutes	c__Clostridia	o__Peptostreptococcales-Tissierellales	f__Anaerovoracaceae	g__Family_XIII_AD3011_group	s__Unknown
25efd02477d043a409fe6942c732681d	d__Bacteria	p__Firmicutes	c__Clostridia	o__Peptostreptococcales-Tissierellales	f__Anaerovoracaceae	g__Family_XIII_AD3011_group	s__Unknown
334f65f7ba984d4c036f2605cb89b36f	d__Bacteria	p__Firmicutes	c__Clostridia	o__Peptostreptococcales-Tissierellales	f__Anaerovoracaceae	g__Family_XIII_AD3011_group	s__Unknown
