name	Mock1	Mock2	Mock3	Mock4	Mock5	Mock6	PDCoV1	PDCoV2	PDCoV3	PDCoV4	PDCoV5	PDCoV6
CA	392.84681	340.05711	121.23026	219.63156	278.44667	254.91298	17.19728	81.01965	36.73982	91.97124	22.55523	153.77144
CDCA	679.32941	1818.43899	900.32185	1350.12554	846.45492	1888.38171	462.23904	2657.98394	289.95289	594.70197	1261.32802	1019.83573
UDCA	36.66595	9.12429	15.63561	11.39459	13.62339	24.59774	10.29273	38.91214	3.15392	4.62023	9.36717	12.51754
HCA	6859.71301	1793.66114	2217.13397	5816.84527	6141.58096	5845.68467	917.76177	4731.07723	2815.58258	1995.61219	5629.99341	1318.15993
DCA	230.68428	39.55843	57.73673	77.93645	71.86908	25.3296	7.90447	15.19421	4.944	26.85286	11.27285	5.63371
LCA	253.19991	28.60438	82.94868	14.35498	19.78436	15.14319	12.04913	16.15363	30.35218	5.46041	9.68281	6.9892
HDCA	9335.43816	2468.56835	2088.2702	1972.63548	3246.55337	1670.18208	1480.5965	3318.51624	581.81851	2583.16014	2148.72092	1783.60109
GCA	4.33231	8.44015	15.97395	14.49618	12.52343	16.35278	27.44749	37.02108	25.126	38.6037	24.9574	19.0954
GCDCA	139.80303	199.4437	317.29563	239.12784	62.9831	156.26437	227.1935	1095.07566	106.22853	73.01461	198.25552	402.17184
GUDCA	0.26633	0.10071	0.19722	0.39017	0.36567	0.42362	0.64667	0.69333	1.44967	0.28027	0.25697	0.18307
GHCA	210.80887	525.78504	800.60684	963.87051	409.49463	693.39335	2364.47213	1657.01621	479.73762	251.71383	437.62228	437.62228
GDCA	1.39488	4.57585	5.96591	2.84848	2.21544	1.99569	1.49849	60.12879	1.92326	1.01538	0.42837	14.87065
GLCA	0.42245	1.56486	1.50063	1.0321	0.56909	0.85651	1.1252	1.79238	2.56917	1.99919	1.55464	3.27393
TCA	1.89612	8.20943	11.11378	10.53978	4.1182	3.97916	8.73638	14.31025	1.13971	2.2887	1.26116	2.19379
TCDCA	168.82622	477.7606	642.0083	94.93208	66.79545	89.72677	192.85449	307.84632	1628.49664	80.86285	233.70634	262.91171
TUDCA	0.37568	0.1832	0.38808	0.55595	0.35356	0.43187	1.46434	1.15331	2.92388	0.29898	0.22157	0.33783
THCA	70.65428	444.34477	596.31572	386.64175	137.76896	204.75575	187.44376	1175.9277	504.1378	92.89204	92.12533	253.48135
TDCA	2.10252	12.99421	12.241	1.14991	1.51295	0.77944	1.5835	1.44028	58.84333	1.03038	0.51837	5.42316
TLCA	1.10316	3.87203	4.16293	0.33272	1.13861	0.34078	1.39303	0.86848	2.12661	0.81625	1.87821	43.30672
THDCA	334.82736	153.73975	480.63278	101.01463	47.72472	32.67822	375.41108	445.99981	335.69015	111.04777	107.8614	401.32679
