name	Mock_1	Mock_2	Mock_4	Mock_5	PDCoV_1	PDCoV_3	PDCoV_4	PDCoV_5	PDCoV_6	PDCoV_2	Mock_3	Mock_6	QC01	QC02	QC03
neg_4204	2517.817787	2350.044901	705.0247008	0.612452509	198.9209144	266.275798	1878.402366	5149.128085	1045.181608	751.8327604	338.7414859	2785.884289	1052.257631	1093.330953	1245.337417
pos_5033	143.5500893	80.10618443	91.04631279	111.716819	34.88635167	34.04583897	30.35479846	40.91555229	38.31904899	37.13681519	36.90099289	28.26619647	33.40994982	27.93385965	28.27900668
pos_13	127636.4765	128634.0339	6635.037619	3387.53937	70643.26541	298955.4332	1059709.838	209064.8911	265801.9499	420501.073	59571.07852	113239.625	173951.6394	171034.4749	170989.7138
neg_1456	29231.2793	27066.83405	2011.327762	703.7392143	1241707.946	1330742.199	1216863.357	15694.72694	270648.4398	725097.4169	13292.71264	28218.6874	232211.6641	227765.4151	227929.788
pos_5435	86.77749833	130.8525012	25.92098704	34.75210206	113.5511078	1827.343151	1875.729415	1734.833186	2608.376886	2304.750911	16.8742061	26.26675627	558.2958559	560.7114451	524.8953303
neg_170	18521.53543	18502.29871	17219.4077	14637.80883	174209.8884	352278.2656	138998.7291	587.4436204	224175.7363	123240.5015	14001.58198	14162.63621	88999.71561	88205.76702	88322.12353
neg_2238	219.1205457	0.090710915	178.5163465	158.2521919	3301.437796	809.2726358	556.7807065	224.5533088	299.2170103	284.7991083	11.99400695	175.5920269	92.91856782	66.37130216	92.81947553
pos_2587	473117.9332	479853.153	336143.7403	256095.5667	399350.4444	424473.4464	555954.1899	299768.265	575767.418	473292.0299	522088.8186	576908.3932	455825.935	446594.0526	455965.1214
pos_5796	2841.757998	2615.260273	2420.739815	1445.595402	5379.200306	2150.593635	4272.172998	1614.393401	2203.582249	2271.234302	4263.676474	4734.481951	3732.842678	3746.692851	3652.581678
neg_1589	31260.72023	29617.86132	1482.362335	2.551261391	16065.55937	10692.11571	16230.53776	4702.689524	12264.28334	29132.61588	7329.637922	22627.07928	28761.45971	28533.50309	28525.26954
neg_237	390.5362676	472.7504845	293.1237563	679.6945441	541.1498273	4523.548139	4287.686498	37561.66431	4095.676555	681.5427214	283.5227564	145.8033039	795.2340012	810.8502776	811.4243678
pos_5375	23995.01665	25130.21189	13801.92298	7898.06921	13262.11096	35489.59724	35658.60365	28021.18059	20073.89559	27425.51139	7383.493288	10869.95754	21494.44986	21945.29563	20659.63398
pos_4773	2654.316991	12976.21082	163.374109	69.66973875	1920.892919	1874.613076	810.0939712	71.92972674	89.60282137	2044.806691	10746.32861	3371.950809	5743.02055	5739.745624	4946.387462
pos_1646	148.7911004	146.8219761	693.3785673	721.884527	35.0729683	33.12508956	772.9894028	143.1044053	352.7197965	8871.044898	75.03255048	1563.88826	2682.508575	2651.192978	2650.547233
pos_2018	260.4766304	476.122439	294.2275442	724.1573346	7946.307125	14067.48021	22959.01964	24031.38288	2926.478744	29139.65062	373.1457018	162.0623684	6175.339233	6205.409033	5881.763451
pos_5883	156.9663799	80.67687622	3442.363292	3907.714461	473.3154152	1466.982099	1029.463766	3988.780159	3803.808427	1605.020365	1697.408038	1409.530966	2794.091918	2711.052897	2804.055778
neg_5066	5278.385071	4852.818831	8431.092175	2445.598015	512.8255658	386.5820956	1580.62719	3126.744408	233.5871458	223.4418532	20.918659	1637.39138	1817.22651	1784.625153	1804.019767
neg_4034	124.1762125	708.9248996	758.2400488	51.99513148	107.0664734	1301.341729	1144.121186	30.12237323	1445.588272	1309.357552	296.1856924	551.6598539	1227.142318	1243.994617	1244.894957
pos_3482	387.583078	902.4163295	1186.012986	478.9446898	30.58989734	812.6172425	294.1120774	446.1154969	463.8821985	941.3495512	1617.898099	517.0259224	1324.860562	1432.068959	1332.331397
