sample	Duodenum	Jejunum	Ileum	MLN	feces
Mock_1	2.176428	1.608078	2.361563	1.672819	2.251639
Mock_2	2.432365	2.458262	1.842801	2.051628	2.357155
Mock_3	1.883575	2.23015	2.646427	1.726541	2.040884
Mock_4	2.682243	2.79812	2.668056	2.185869	2.632652
Mock_5	2.484022	2.935496	2.901157	2.091198	2.527136
Mock_6	2.043155	2.603956	2.778002	2.760502	2.591878
PDCoV_1	6.14874	6.890395	8.580365	6.784109	9.918177
PDCoV_2	5.665326	5.585707	9.124194	6.999835	9.500799
PDCoV_3	6.181883	6.022646	8.207064	6.582181	8.631054
PDCoV_4	6.361518	6.495984	9.163639	6.083827	8.975426
PDCoV_5	5.63994	5.942577	9.11666	7.247786	9.735247
PDCoV_6	5.941622	6.009062	8.340038	7.011055	9.27682
