feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
s__UBA636.sp022776215	group	PDCoV	6.34206665151673	0.431238324404839	12	8	4.22643198721901e-08	6.76229117955042e-06
s__Prevotella.sp900552515	group	PDCoV	6.54582358493023	0.62765719494543	12	10	1.08020859299241e-06	0.000172833374878786
s__Hominicoprocola.sp900317525	group	PDCoV	2.95945367018258	0.286357167049844	12	7	1.17441661137885e-06	0.000187906657820616
s__Alloprevotella.sp004556745	group	PDCoV	4.93471832300656	0.607221175461506	12	8	1.02579277605736e-05	0.00164126844169178
s__Cryptobacteroides.sp022777585	group	PDCoV	2.70706719738304	0.335807950509882	12	8	1.10120567184491e-05	0.00176192907495186
s__Phascolarctobacterium_A.succinatutens	group	PDCoV	4.79180714055872	0.619289589074141	12	11	1.5750733196114e-05	0.00252011731137823
s__Hominicoprocola.sp003522105	group	PDCoV	6.94768688310298	1.07260948270431	12	10	7.09636212251318e-05	0.0113541793960211
s__Vescimonas.sp003487665	group	PDCoV	4.39374286275315	0.705431223726379	12	8	9.77564141655309e-05	0.0156410262664849
s__Enterococcus_D.gallinarum	group	PDCoV	-2.18380510892218	0.351752659354251	12	6	0.000100352675544295	0.0160564280870872
s__Enterocloster.porci	group	PDCoV	-3.72383468030172	0.607165920979462	12	7	0.000110749394449499	0.0177199031119199
s__Bacteroides.fragilis	group	PDCoV	-6.35099235638209	1.08724913063458	12	10	0.000163516032253009	0.0261625651604814
s__UMGS973.sp900547295	group	PDCoV	2.30448341957425	0.411579544155327	12	7	0.000227966740726112	0.0364746785161779
s__Prevotella.sp002251385	group	PDCoV	2.66722177830742	0.484405190300159	12	8	0.000259529952813447	0.0415247924501514
s__Cryptobacteroides.sp004552115	group	PDCoV	2.31755327795064	0.436751901356615	12	8	0.000344406545210009	0.0551050472336014
s__Vescimonas.cirricatena	group	PDCoV	3.55026899077286	0.682592700276062	12	8	0.000400628457439575	0.064100553190332
s__Sodaliphilus.sp004557565	group	PDCoV	3.1686928852305	0.609702980568568	12	9	0.000402976931333707	0.064476309013393
s__CAG.873.sp001701165	group	PDCoV	4.85399003397654	0.936109935511278	12	6	0.000409932899318379	0.0655892638909406
s__Prevotella.sp900544495	group	PDCoV	2.03921600799272	0.405143808303412	12	6	0.000511626934382285	0.0818603095011657
s__CAG.103.sp004556965	group	PDCoV	4.96003375957935	0.989399887121736	12	8	0.000527007009716721	0.0843211215546754
s__Escherichia.coli	group	PDCoV	-6.91944053675511	1.41395014245335	12	12	0.000628992502360917	0.100638800377747
s__UBA4372.sp945865175	group	PDCoV	3.50686134129812	0.73499506229004	12	6	0.000755598183622136	0.120895709379542
s__CAG.873.sp017889945	group	PDCoV	3.54499314521224	0.745757491113483	12	6	0.000776068056207665	0.124170888993226
s__Clostridium_AQ.innocuum	group	PDCoV	-3.27722648567388	0.691447847114597	12	6	0.000792518894577857	0.126803023132457
s__Odoribacter.sp945900015	group	PDCoV	3.16603153401049	0.689174299205351	12	6	0.000989245846836281	0.158279335493805
s__Limivicinus.sp003150355	group	PDCoV	2.40584088042897	0.537266972210726	12	7	0.0011828147141336	0.189250354261375
s__CAG.238.sp945828095	group	PDCoV	3.19666441524743	0.727677528108188	12	6	0.00134979312897597	0.215966900636155
s__Sarcina.perfringens	group	PDCoV	-5.40179547955295	1.26328822888663	12	6	0.00162163423488964	0.259461477582342
s__UBA1783.sp016302195	group	PDCoV	2.54120266328253	0.597679496010315	12	6	0.00168475747227703	0.269561195564324
s__Prevotella.pectinovora	group	PDCoV	4.12154624238793	0.97804524480018	12	9	0.00178836093831206	0.286137750129929
s__Phil1.sp001940855	group	PDCoV	2.14685951848219	0.515526538897695	12	7	0.00193512732268162	0.309620371629059
s__Evtepia.sp004551945	group	PDCoV	3.21212931740904	0.773215970877625	12	10	0.00196667150590559	0.314667440944894
s__Limivicinus.sp946061515	group	PDCoV	2.1208914157975	0.512894547507017	12	7	0.00202748789178649	0.324398062685838
s__UBA7173.sp001701135	group	PDCoV	2.95315541409996	0.714877723411009	12	7	0.00204095034616085	0.326552055385737
s__Dysosmobacter.sp004558115	group	PDCoV	2.21173754222769	0.536337434521442	12	8	0.00206459028538173	0.330334445661077
s__Mogibacterium_A.kristiansenii	group	PDCoV	2.33138539255538	0.572905571129094	12	7	0.00225230778613624	0.360369245781799
s__Clostridium.paraputrificum	group	PDCoV	-1.31786642627249	0.323979320285608	12	5	0.00225830411633967	0.361328658614347
s__Methanobrevibacter_A.smithii	group	PDCoV	3.96467909377908	0.981458458706984	12	7	0.00236282170899579	0.378051473439326
s__CAG.170.sp934646005	group	PDCoV	2.69132519425172	0.691957339079634	12	8	0.00301230665967947	0.481969065548716
s__CAG.170.sp004555655	group	PDCoV	3.06104781708644	0.808061368440717	12	7	0.00355421704069254	0.568674726510807
s__Cryptobacteroides.sp000433355	group	PDCoV	3.10423046128235	0.832776615596549	12	7	0.00392604868803656	0.628167790085849
s__Onthomorpha.sp004551865	group	PDCoV	3.37803083710528	0.908279044346245	12	7	0.00398080665605885	0.636929064969415
s__F23.B02.sp004558025	group	PDCoV	3.14807364593776	0.85932870746697	12	7	0.004364402737825	0.698304438052
s__Brotaphodocola.sp022776445	group	PDCoV	1.89868036277962	0.518435985819369	12	5	0.00437225184916435	0.699560295866297
s__RUG369.sp004556055	group	PDCoV	2.71807241194052	0.758080037074536	12	7	0.00496635020173886	0.794616032278217
s__Alloprevotella.sp945788445	group	PDCoV	3.31371012170355	0.924756951070153	12	6	0.0049840294422598	0.797444710761568
s__Enterococcus_E.cecorum	group	PDCoV	-3.22819309027044	0.912178705414515	12	5	0.00536576273273191	0.858522037237106
s__Lepagella.sp002491165	group	PDCoV	2.8809419265802	0.820844170844347	12	5	0.00563418971394532	0.901470354231252
s__Actinobacillus_B.aerogenes	group	PDCoV	-1.50682614037249	1.65257978268431	12	9	0.38332710573497	1
s__Agathobaculum.butyriciproducens	group	PDCoV	-0.327354419835494	1.06802830320596	12	11	0.765507986461813	1
s__Akkermansia.muciniphila	group	PDCoV	-1.30019604712832	1.47630078198847	12	2	0.399145709937107	1
s__Alistipes.senegalensis	group	PDCoV	2.14924300062957	0.936101240494557	12	10	0.0445602376923497	1
s__Alistipes.shahii	group	PDCoV	3.40544764508969	1.01595663390019	12	8	0.0073410368113908	1
s__Alloprevotella.sp004552195	group	PDCoV	2.15267316371416	0.642532697941758	12	5	0.00736169440784627	1
s__Alloprevotella.sp004552865	group	PDCoV	1.09325715712549	0.744846586022018	12	7	0.172904758738261	1
s__Alloprevotella.sp004557185	group	PDCoV	1.32279889743332	1.34879229753938	12	4	0.349857675521464	1
s__Alloprevotella.sp022772475	group	PDCoV	1.949754359926	0.756550736449536	12	5	0.0275500749980771	1
